"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"SLV","El Salvador","ext_pc_lag",-0.139807150433096,0.680892908702203,-0.205329132740671,0.839390426024025,-1.56012486948843,1.28051056862223,22
"UZB","Uzbekistan","ext_pc_lag",-0.137102750867252,2.1891225895707,-0.0626290878000299,0.950683560689409,-4.70353245429572,4.42932695256122,22
"TCD","Chad","ext_pc_lag",-0.127107037145439,0.199300884868378,-0.637764539928573,0.530861599707775,-0.542841397988619,0.288627323697741,22
"SEN","Senegal","ext_pc_lag",-0.124085671514069,0.163920400155022,-0.756987363358795,0.457883285702873,-0.466017634498638,0.2178462914705,22
"PNG","Papua New Guinea","ext_pc_lag",-0.109878232758824,0.24210596813777,-0.45384355290365,0.654827815118969,-0.614902432659126,0.395145967141479,22
"TGO","Togo","ext_pc_lag",-0.104584388269186,0.0855969453971645,-1.22182383709981,0.235980495584875,-0.283136487565283,0.0739677110269112,22
"COM","Comoros","ext_pc_lag",-0.103184336726207,0.122230578405012,-0.844177766911204,0.408554607509611,-0.358152855417226,0.151784181964811,22
"GEO","Georgia","ext_pc_lag",-0.0970284039086554,0.633866783560112,-0.153073810499575,0.879873939870907,-1.41925134485103,1.22519453703372,22
"KIR","Kiribati","ext_pc_lag",-0.0801927749542571,0.21810506804538,-0.367679557714687,0.717176099681288,-0.536691928761599,0.376306378853085,21
"MRT","Mauritania","ext_pc_lag",-0.0766514620123727,0.433469210188162,-0.176832541298838,0.86141839761127,-0.980852389980083,0.827549465955338,22
"KHM","Cambodia","ext_pc_lag",-0.0597731585703074,0.0818220693224534,-0.73052611679554,0.473540175660596,-0.230451004356599,0.110904687215984,22
"ARM","Armenia","ext_pc_lag",-0.0566729588959117,0.454813106460994,-0.124607136625629,0.902078504690678,-1.00539647431098,0.89205055651916,22
"WSM","Samoa","ext_pc_lag",-0.0547183773963517,0.174341324056712,-0.31385775972742,0.756879197390569,-0.418388006726585,0.308951251933882,22
"AFG","Afghanistan","ext_pc_lag",-0.0543827973039723,0.0665192921446457,-0.817549248505491,0.424304725834345,-0.194134644271891,0.0853690496639464,20
"MDG","Madagascar","ext_pc_lag",-0.052819861231663,0.198698593564417,-0.265829064434414,0.793091872724984,-0.467297864430174,0.361658141966848,22
"TZA","United Republic of Tanzania","ext_pc_lag",-0.0450639995928263,0.105939650677308,-0.425374251328157,0.675105894775419,-0.266050238521805,0.175922239336152,22
"ALB","Albania","ext_pc_lag",-0.0348493302308923,0.98927306446321,-0.0352272102443241,0.972247789407521,-2.09843678206584,2.02873812160405,22
"SLE","Sierra Leone","ext_pc_lag",-0.0324024359164072,0.0168240067291481,-1.92596427462603,0.0684435393656106,-0.0674966989899651,0.00269182715715065,22
"BEN","Benin","ext_pc_lag",-0.0319486280231071,0.0980225253199101,-0.325931492979173,0.74786182572168,-0.236420032849132,0.172522776802918,22
"MWI","Malawi","ext_pc_lag",-0.023350507149483,0.0467264054987205,-0.49972829924019,0.622719768441536,-0.120820081041937,0.0741190667429706,22
"CPV","Cabo Verde","ext_pc_lag",-0.0185661443693294,0.408504892575079,-0.0454490134800945,0.964200155988568,-0.870692418310214,0.833560129571555,22
"UGA","Uganda","ext_pc_lag",-0.0163480633284674,0.043614574354314,-0.37483028484148,0.711731895708762,-0.107326471199626,0.0746303445426908,22
"GMB","Gambia","ext_pc_lag",-0.0124719902484303,0.0367793149258321,-0.339103386606872,0.738066510016221,-0.0891922967991959,0.0642483163023352,22
"GNB","Guinea-Bissau","ext_pc_lag",-0.0121952739771562,0.0470395531492398,-0.25925573609224,0.798087720654501,-0.11031806242219,0.0859275144678779,22
"SLB","Solomon Islands","ext_pc_lag",-0.00644652274524627,0.164539346557912,-0.0391792168870521,0.969135962442211,-0.349669585302062,0.336776539811569,22
"HTI","Haiti","ext_pc_lag",-0.00533982712191622,0.0345012127226781,-0.154772157281483,0.878552214574104,-0.0773080957477667,0.0666284415039342,22
"KGZ","Kyrgyzstan","ext_pc_lag",-0.00465398792713179,0.607589096349712,-0.00765976209101204,0.993964344305412,-1.27206263386993,1.26275465801567,22
"BFA","Burkina Faso","ext_pc_lag",-0.00138453887929842,0.158926321509148,-0.00871182863952918,0.993135369085325,-0.332899036355803,0.330129958597207,22
"MHL","Marshall Islands","ext_pc_lag",0.0017937755441938,0.0820953320437644,0.0218499091183108,0.982784208767923,-0.169454086290253,0.17304163737864,22
"NAM","Namibia","ext_pc_lag",0.00389928030299675,0.192278625160816,0.0202793227782626,0.984021506554802,-0.397186903473,0.404985464078993,22
"RWA","Rwanda","ext_pc_lag",0.00624413795492107,0.0344506820547784,0.181248601841687,0.857996670730734,-0.0656187255447247,0.0781070014545668,22
"MLI","Mali","ext_pc_lag",0.0125775299733616,0.0592633696236685,0.21223109744233,0.834074758587606,-0.111043692823417,0.13619875277014,22
"GIN","Guinea","ext_pc_lag",0.0147925299557936,0.12254702700236,0.12070900712678,0.905125982658598,-0.240836088942232,0.27042114885382,22
"MOZ","Mozambique","ext_pc_lag",0.0167331134048375,0.0349292947676852,0.479056720616017,0.637094428317616,-0.0561281187193287,0.0895943455290037,22
"COD","Democratic Republic of the Congo","ext_pc_lag",0.0279860552626551,0.0346124221445519,0.808555239092394,0.4282848186799,-0.0442141921522159,0.100186302677526,22
"BIH","Bosnia and Herzegovina","ext_pc_lag",0.0332240102201313,1.8583062039763,0.0178786521559474,0.98591281825591,-3.84313480510182,3.90958282554208,22
"TON","Tonga","ext_pc_lag",0.0353831324262866,0.0392246045422503,0.902064733072686,0.37775830734859,-0.046437958882306,0.117204223734879,22
"FSM","Micronesia (Federated States of)","ext_pc_lag",0.0358508093148752,0.0243324263519543,1.4733758481918,0.156215051758296,-0.0149057426385901,0.0866073612683406,22
"LBR","Liberia","ext_pc_lag",0.0365875073674952,0.0528974167659995,0.691669075814157,0.497096734738191,-0.0737545704611683,0.146929585196159,22
"CMR","Cameroon","ext_pc_lag",0.0411628156563558,0.162804227926794,0.252836281837011,0.802975229846384,-0.298440852859276,0.380766484171988,22
"ERI","Eritrea","ext_pc_lag",0.0474111460751276,0.0578083706883819,0.820143268363316,0.421801897619656,-0.0731750021268324,0.167997294277088,22
"CAF","Central African Republic","ext_pc_lag",0.0486146884619673,0.0304794341906674,1.59499970235185,0.126393582538955,-0.0149642971531103,0.112193674077045,22
"LCA","Saint Lucia","ext_pc_lag",0.0565068524236054,0.0788896874773265,0.716276793970644,0.482101157617539,-0.108054152020325,0.221067856867536,22
"ETH","Ethiopia","ext_pc_lag",0.0586086494950146,0.0987608071208377,0.593440365704025,0.559538728901106,-0.147402784181527,0.264620083171556,22
"BDI","Burundi","ext_pc_lag",0.0631442796985658,0.0756243645447286,0.834972698001563,0.413596462059007,-0.0946053804644467,0.220893939861578,22
"DOM","Dominican Republic","ext_pc_lag",0.0642749941629165,0.500759253559717,0.128355080222699,0.899149902509747,-0.980290504642791,1.10884049296862,22
"CIV","Côte d'Ivoire","ext_pc_lag",0.0785640596723801,0.202897354421599,0.387210862834281,0.702689765595117,-0.344672405198022,0.501800524542782,22
"GRD","Grenada","ext_pc_lag",0.0931068723585258,0.645801686802959,0.144172544391222,0.886807086332191,-1.25401184049509,1.44022558521214,22
"PLW","Palau","ext_pc_lag",0.104349178304263,0.148240376520171,0.703918734920806,0.489598706081619,-0.204874828525742,0.413573185134267,22
"ZMB","Zambia","ext_pc_lag",0.109688685649592,0.0901005770514887,1.21740269861879,0.237620784303794,-0.0782578246573749,0.297635195956559,22
"TJK","Tajikistan","ext_pc_lag",0.117511331433291,0.208077624665663,0.564747562944873,0.578525438684398,-0.316530987813189,0.551553650679771,22
"KEN","Kenya","ext_pc_lag",0.13076541963005,0.0969197288282585,1.34921363494285,0.192345870197624,-0.0714055920246169,0.332936431284717,22
"PSE","occupied Palestinian territory, including east Jerusalem","ext_pc_lag",0.134727476910735,0.206604642458062,0.652102853584631,0.521759402233481,-0.296242255292216,0.565697209113686,22
"BRB","Barbados","ext_pc_lag",0.138945138362462,1.55587793798332,0.0893033669097189,0.929729060477094,-3.10655936867814,3.38444964540306,22
"COG","Congo","ext_pc_lag",0.139959076540532,0.419587663034927,0.333563373928088,0.742180892306753,-0.735285451474032,1.0152036045551,22
"VUT","Vanuatu","ext_pc_lag",0.141669407911439,0.195407983304833,0.724992937931492,0.47685377818452,-0.265944502566381,0.549283318389259,22
"DJI","Djibouti","ext_pc_lag",0.172943200001572,0.136241913912335,1.26938322455491,0.21887753654704,-0.111252452405102,0.457138852408246,22
"ZAF","South Africa","ext_pc_lag",0.175361062098119,0.383572032030856,0.457178958459651,0.652469525970332,-0.624756176111739,0.975478300307976,22
"STP","Sao Tome and Principe","ext_pc_lag",0.177591990485401,0.123725613418421,1.43536965046042,0.166637233031078,-0.0804951165959728,0.435679097566775,22
"TUV","Tuvalu","ext_pc_lag",0.21206698981922,0.204423570366504,1.03739010838629,0.311934561885307,-0.214353105724889,0.638487085363328,22
"PAK","Pakistan","ext_pc_lag",0.226837387834076,0.299630290255269,0.757057598017954,0.457842148326507,-0.398180445332077,0.85185522100023,22
"SSD","South Sudan","ext_pc_lag",0.264011074643275,0.103290637429106,2.55600198831651,0.0835045525560761,-0.0647058328133834,0.592727982099934,5
"HND","Honduras","ext_pc_lag",0.315778649418934,0.365983824110984,0.86282132874587,0.39846435502218,-0.447650229967158,1.07920752880503,22
